                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     96,                 1.3834,                 1.4735,                  2.053,                 0.8547,                0.69408,                 0.7658,                0.55376,                  1.954,                 2.6425,                 2.9446,              0.0011602,              0.0011602,              0.0011602
                     97,                 1.4113,                 1.4908,                 2.0477,                 0.7732,                0.45279,                0.62797,                0.41467,                 1.8503,                 2.3344,                 2.7965,              0.0011574,              0.0011574,              0.0011574
                     98,                 1.4612,                 1.5329,                  2.097,                0.54072,                0.55619,                0.48884,                0.31377,                 1.7799,                    2.6,                 2.8182,              0.0011545,              0.0011545,              0.0011545
                     99,                 1.3792,                 1.4813,                 2.0484,                0.90125,                0.49931,                0.66861,                 0.4731,                 1.6963,                 2.5708,                 2.6794,              0.0011517,              0.0011517,              0.0011517
                    100,                 1.3979,                 1.5188,                 2.0529,                0.50317,                0.53971,                0.64845,                0.45489,                 1.9462,                 2.6775,                 3.0318,              0.0011489,              0.0011489,              0.0011489
                    101,                 1.4001,                 1.4274,                 2.0588,                0.40848,                0.75911,                0.49868,                0.30083,                 1.8213,                 2.6175,                 2.8837,              0.0011461,              0.0011461,              0.0011461
                    102,                 1.4152,                 1.4985,                 2.0945,                0.77493,                0.62573,                 0.7445,                0.53027,                 1.6693,                 2.6403,                 2.6946,              0.0011432,              0.0011432,              0.0011432
                    103,                 1.3721,                 1.5526,                 2.0229,                0.74186,                0.42333,                0.52115,                0.37622,                 1.8407,                 3.3352,                 2.9624,              0.0011404,              0.0011404,              0.0011404
                    104,                 1.3822,                 1.5027,                 2.0541,                0.84667,                0.67974,                0.72436,                0.49168,                 1.8085,                 2.8856,                 2.9188,              0.0011376,              0.0011376,              0.0011376
                    105,                 1.3522,                 1.4562,                 2.0385,                0.79808,                0.45348,                0.60018,                0.36687,                 1.8354,                 3.2809,                 2.8817,              0.0011347,              0.0011347,              0.0011347
                    106,                 1.3959,                 1.4603,                 2.0362,                0.46275,                0.67626,                0.42732,                0.28688,                 1.7056,                 3.0958,                 2.6753,              0.0011319,              0.0011319,              0.0011319
                    107,                 1.3805,                 1.3946,                 2.0076,                0.63254,                0.66571,                0.70188,                0.38308,                 1.8349,                 2.8934,                 2.8197,              0.0011291,              0.0011291,              0.0011291
                    108,                 1.3622,                 1.4487,                 2.0167,                0.69188,                0.48537,                0.56946,                0.30485,                 1.7661,                 3.0566,                 2.7437,              0.0011263,              0.0011263,              0.0011263
                    109,                  1.345,                 1.4259,                 2.0455,                0.58732,                0.53252,                0.61192,                0.41612,                 1.7151,                 2.6414,                 2.7358,              0.0011234,              0.0011234,              0.0011234
                    110,                   1.34,                 1.4135,                 2.0133,                0.41871,                0.61933,                  0.537,                0.33932,                 1.7642,                 2.4105,                 2.7559,              0.0011206,              0.0011206,              0.0011206
                    111,                 1.3867,                 1.4898,                  2.027,                0.64026,                0.47154,                0.54342,                  0.341,                 1.8105,                 2.5311,                 2.8543,              0.0011178,              0.0011178,              0.0011178
                    112,                  1.294,                 1.2647,                 1.9371,                0.69788,                0.58548,                0.69047,                0.45926,                 1.8536,                 2.9293,                 2.9537,              0.0011149,              0.0011149,              0.0011149
                    113,                 1.3559,                 1.3727,                 2.0389,                0.90044,                 0.4142,                 0.6036,                0.38917,                 1.9066,                 3.2636,                 2.8549,              0.0011121,              0.0011121,              0.0011121
                    114,                 1.3326,                 1.3987,                 2.0259,                 0.8243,                0.56032,                0.62258,                0.41299,                  1.745,                 2.3702,                 2.7076,              0.0011093,              0.0011093,              0.0011093
                    115,                 1.3657,                 1.3799,                 2.0269,                0.44437,                0.49087,                0.41087,                0.23403,                 1.8778,                 2.7725,                 3.0101,              0.0011064,              0.0011064,              0.0011064
                    116,                 1.3781,                 1.4259,                 2.0503,                0.78764,                0.52271,                0.64705,                0.44342,                 1.7445,                 2.7663,                 2.8627,              0.0011036,              0.0011036,              0.0011036
                    117,                 1.3331,                 1.3306,                 1.9938,                0.71835,                0.49365,                0.57188,                0.40114,                 1.8078,                 2.5759,                 2.8647,              0.0011008,              0.0011008,              0.0011008
                    118,                 1.2917,                 1.2963,                 1.9357,                0.45057,                0.54386,                0.56055,                0.37259,                 1.7459,                 2.5411,                 2.7286,               0.001098,               0.001098,               0.001098
                    119,                 1.3035,                 1.3354,                 1.9539,                0.52408,                0.72807,                 0.5965,                0.39938,                 1.9552,                 2.6443,                 2.9673,              0.0010951,              0.0010951,              0.0010951
                    120,                 1.3164,                 1.3477,                 1.9533,                0.85308,                0.33245,                0.44104,                0.29681,                 1.7132,                 2.9295,                 2.7146,              0.0010923,              0.0010923,              0.0010923
                    121,                 1.3426,                 1.3724,                 1.9839,                0.70644,                0.68129,                0.67097,                0.47815,                 1.7226,                 2.9694,                 2.7664,              0.0010895,              0.0010895,              0.0010895
                    122,                 1.3055,                 1.3208,                 1.9847,                0.51504,                0.54971,                0.44101,                0.28296,                 1.8005,                 2.8277,                 2.8166,              0.0010866,              0.0010866,              0.0010866
                    123,                  1.331,                 1.3589,                 1.9675,                0.74058,                0.53649,                0.62323,                0.43996,                 1.7747,                 2.7296,                 2.9248,              0.0010838,              0.0010838,              0.0010838
                    124,                 1.4238,                 1.4628,                 2.0368,                0.78323,                0.68129,                0.70516,                0.46476,                 1.7922,                 2.7837,                 2.8358,               0.001081,               0.001081,               0.001081
                    125,                 1.2773,                 1.3097,                 1.9566,                0.70295,                0.50042,                0.65808,                0.36893,                  1.898,                 2.8657,                 2.9451,              0.0010782,              0.0010782,              0.0010782
                    126,                 1.2976,                 1.2334,                  1.921,                 0.6244,                0.54722,                0.65603,                0.43896,                 1.8823,                 2.5612,                 3.0284,              0.0010753,              0.0010753,              0.0010753
                    127,                   1.34,                 1.3568,                  1.962,                 0.7753,                0.66501,                0.69962,                 0.4853,                 1.8058,                  2.946,                 2.8736,              0.0010725,              0.0010725,              0.0010725
                    128,                 1.2816,                 1.2946,                 1.9287,                0.40974,                 0.5848,                0.45179,                 0.2633,                 1.8826,                 2.6533,                 2.9818,              0.0010697,              0.0010697,              0.0010697
                    129,                  1.286,                 1.2572,                 1.8951,                0.57292,                0.51312,                0.47597,                0.31088,                 1.7551,                 2.8096,                 2.7996,              0.0010668,              0.0010668,              0.0010668
                    130,                 1.2666,                 1.2611,                 1.8938,                0.81716,                0.65181,                 0.7138,                0.49292,                 1.7449,                 3.1277,                 2.8516,               0.001064,               0.001064,               0.001064
                    131,                 1.3099,                 1.3097,                 1.9379,                 0.7006,                0.47726,                0.61165,                0.39944,                 1.7427,                 3.2972,                 2.8419,              0.0010612,              0.0010612,              0.0010612
                    132,                 1.2748,                 1.2889,                 1.9136,                0.84747,                0.71923,                 0.7679,                0.53225,                 1.7146,                 2.3948,                 2.6951,              0.0010583,              0.0010583,              0.0010583
                    133,                 1.2854,                 1.2492,                  1.944,                0.75627,                0.66961,                0.72203,                0.51922,                 1.6955,                 2.8247,                 2.7495,              0.0010555,              0.0010555,              0.0010555
                    134,                 1.2816,                  1.244,                 1.9454,                0.72465,                0.63888,                 0.6884,                0.44782,                  1.741,                  2.702,                 2.8526,              0.0010527,              0.0010527,              0.0010527
                    135,                 1.2511,                 1.1871,                 1.8986,                0.86834,                0.72029,                0.78702,                0.52759,                 1.7838,                 2.2518,                 2.8567,              0.0010499,              0.0010499,              0.0010499
                    136,                 1.2417,                  1.227,                 1.8804,                0.90365,                0.54045,                0.66938,                0.41271,                 1.8441,                 2.4678,                 2.9955,               0.001047,               0.001047,               0.001047
                    137,                 1.2373,                 1.1905,                 1.8797,                 0.8085,                0.44621,                0.69606,                0.45072,                  1.796,                 2.7757,                 2.8971,              0.0010442,              0.0010442,              0.0010442
